"Date","Time","Text","Retweets","Replies","Potential Impressions","Link"
"2012 Apr 26 12:00:00 AM","2:40 PM","4/27@11:15 am --""Inside ChicagoMetroData"" a 60-minute tour of http://metrodatachicago.org & data goals of county, state and CMAP #opendata","1","0","2,930","http://twitter.com/ToniPreckwinkle/status/195628397546840064"
"2012 Apr 26 12:00:00 AM","4:01 PM","In 1 hour ""Data Developer's Showcase"" Watch Open & Big Data developers pitch projects & services. Live@7, http://data.cookcountyil.gov","0","0","2,761","http://twitter.com/ToniPreckwinkle/status/195648867000270848"
"2012 Apr 26 12:00:00 AM","4:30 PM","In 30 minutes ""Data Developer's Showcase"" Watch Open & Big Data developers pitch projects & services. Live@7, http://data.cookcountyil.gov","0","0","2,761","http://twitter.com/ToniPreckwinkle/status/195656179198869507"
"2012 Apr 26 12:00:00 AM","4:50 PM","Starting soon: ""Data Developer's Showcase"" Watch Open & Big Data developers pitch projects & services. Live@7, http://data.cookcountyil.gov","1","0","2,872","http://twitter.com/ToniPreckwinkle/status/195661106654621697"
"2012 Apr 27 12:00:00 AM","4:56 AM","Today at 11:45: ""Inside Metro Chicago Data"" a look at http://metrochicagodata.org and more. Watch it on your computer at http://data.cookcountyil.gov","5","0","4,429","http://twitter.com/ToniPreckwinkle/status/195843906502541313"
"2012 Apr 27 12:00:00 AM","7:29 AM","Have some data with lunch: watch ""Inside Metro Chicago Data,"" a webinar on regional data. See it live@11:45 am, http://data.cookcountyil.gov","0","0","2,761","http://twitter.com/ToniPreckwinkle/status/195882277903941632"
"2012 Apr 27 12:00:00 AM","7:41 AM","Prescription Drug Take-back events across Cook County. Click http://blog.cookcountygov.com/2012/04/25/sheriffs-office-partners-with-d-e-a-for-national-drug-take-back-initiative/ for info and locations.","1","0","3,008","http://twitter.com/ToniPreckwinkle/status/195885295361728513"
"2012 Apr 27 12:00:00 AM","8:45 AM","In 60 minutes: ""Inside Metro Chicago Data"" a look at http://metrochicagodata.org and more. Watch it on your computer at http://data.cookcountyil.gov","1","0","3,328","http://twitter.com/ToniPreckwinkle/status/195901374305796096"
"2012 Apr 27 12:00:00 AM","9:15 AM","In 30 minutes: ""Inside Metro Chicago Data"" a look at http://metrochicagodata.org and more. Watch it on your computer at http://data.cookcountyil.gov","0","0","2,760","http://twitter.com/ToniPreckwinkle/status/195908926225653761"
"2013 Jan 01 12:00:00 AM","6:05 AM","Today's extreme cold has caused us to cancel today's ""Happy Canoe Year"" trip.","0","0","4,564","http://twitter.com/ToniPreckwinkle/status/286110819463331840"
"2012 Apr 27 12:00:00 AM","9:35 AM","In 10 minutes: ""Inside Metro Chicago Data"" a look at http://metrochicagodata.org and more. Watch it on your computer at http://data.cookcountyil.gov","1","0","2,788","http://twitter.com/ToniPreckwinkle/status/195913972132757505"
"2012 Apr 27 12:00:00 AM","9:51 AM","Happening now: ""Inside Metro Data Chicago"". Live at http://data.cookcountyil.gov http://twitter.com/ToniPreckwinkle/status/195917990317924354/photo/1","1","0","2,850","http://twitter.com/ToniPreckwinkle/status/195917990317924354"
"2012 Apr 28 12:00:00 AM","5:19 AM","Happening now: Global Data Science Hackaton--powered by Cook County/IEPA data! http://bigdataweek.com http://twitter.com/ToniPreckwinkle/status/196212119404949504/photo/1","0","0","2,767","http://twitter.com/ToniPreckwinkle/status/196212119404949504"
"2012 Apr 28 12:00:00 AM","5:46 AM","Global Data Science Hackathon-Chicago, happening now: teams have the data, starting to work #bigdataweek http://twitter.com/ToniPreckwinkle/status/196218781146681344/photo/1","1","0","2,795","http://twitter.com/ToniPreckwinkle/status/196218781146681344"
"2012 Apr 28 12:00:00 AM","6:08 AM","Global Data Hackathon-Chicago Update: Local organizer Rob Lancaster giving hack instructions #bigdataweek http://twitter.com/ToniPreckwinkle/status/196224344647667712/photo/1","0","0","2,767","http://twitter.com/ToniPreckwinkle/status/196224344647667712"
"2012 Apr 28 12:00:00 AM","6:09 AM","@bootstrapcamp 40 or so in Chicago, so far.  More expected.","0","0","2,767","http://twitter.com/ToniPreckwinkle/status/196224740623532032"
"2012 Apr 28 12:00:00 AM","6:10 AM","RT @Atchoum1979: Data science hackathon in london under way. Teams are in action. lots of discussions. #bigdataweek #dsgh","0","0","2,767","http://twitter.com/ToniPreckwinkle/status/196224903509319681"
"2012 Apr 28 12:00:00 AM","6:11 AM","RT @bigdataweek: So looking like 50+ in London, 40+ in Melbourne, 20+ in Finland - #dsgh #bigdataweek Data Scienc Hackathon any more cou ...","0","0","2,767","http://twitter.com/ToniPreckwinkle/status/196225106303918080"
"2012 Apr 28 12:00:00 AM","6:11 AM","RT @bigdataweek: Don't forget to take part in the #bigdataweek Survey www.bigdataweek.cdsom/survey  #dsgh","0","0","2,767","http://twitter.com/ToniPreckwinkle/status/196225177682575361"
"2012 Apr 28 12:00:00 AM","6:13 AM","Shots of Global Data Science Hackathon-Chicago #bigdataweek http://twitter.com/ToniPreckwinkle/status/196225741644509185/photo/1","4","1","5,616","http://twitter.com/ToniPreckwinkle/status/196225741644509185"
"2012 Apr 28 12:00:00 AM","6:34 AM","RT @00alice: @ToniPreckwinkle awesome! Here's one from london, just after lunch @hubwestminster #bigdataweek @ds_ldn  http://yfrog.com/khcx1vtj","0","0","2,767","http://twitter.com/ToniPreckwinkle/status/196230863661449216"
"2012 Apr 28 12:00:00 AM","6:54 AM","More from Global Data Science Hackathon-Chicago: getting quiet as teams dig in. #bigdataweek http://twitter.com/ToniPreckwinkle/status/196235900731129857/photo/1","1","0","3,198","http://twitter.com/ToniPreckwinkle/status/196235900731129857"
"2012 Apr 28 12:00:00 AM","7:48 AM","More from Global Data Science Hackathon-Chicago: the definition of being fully prepared for the task #bigdataweek http://twitter.com/ToniPreckwinkle/status/196249553085796353/photo/1","0","1","2,767","http://twitter.com/ToniPreckwinkle/status/196249553085796353"
"2012 Apr 29 12:00:00 AM","9:00 AM","RT @ds_ldn: Congratulations from @ds_ldn to Ben Hamner for winning 1st ever global #dsghack @datasci_Global #dsgh #bigdataweek","0","0","2,766","http://twitter.com/ToniPreckwinkle/status/196629972692123648"
"2012 Apr 29 12:00:00 AM","9:00 AM","RT @FlyingBinary: Want to say a huge thank you to @Annemcx @sysparatem @acunu @musicmetric @Google @Datasift you have all been awesome i ...","0","0","2,766","http://twitter.com/ToniPreckwinkle/status/196630140422328321"
"2012 Apr 29 12:00:00 AM","9:01 AM","RT @splunk: Yay for Ben Hamner making SF proud! http://twitter.com/EMC_UK/status/196583414630068224/photo/1
Thanks to all other SF hackers visiting #splunk #dsgh #bigdataweek  ...","0","0","2,766","http://twitter.com/ToniPreckwinkle/status/196630245841965057"
"2012 Apr 29 12:00:00 AM","9:01 AM","RT @sunstartup: RT @EMC_UK: Well done to Ben Hamner in San Francisco for winning the Hackathon #dsgh #bigdataweek http://twitter.com/EMC_UK/status/196583414630068224/photo/1","0","0","2,766","http://twitter.com/ToniPreckwinkle/status/196630281761988609"
"2012 Apr 29 12:00:00 AM","9:01 AM","RT @EMC_UK: Well done to Ben Hamner in San Francisco for winning the Hackathon #dsgh #bigdataweek http://twitter.com/EMC_UK/status/196583414630068224/photo/1","0","0","2,766","http://twitter.com/ToniPreckwinkle/status/196630358651969536"
"2012 Apr 30 12:00:00 AM","7:39 AM","Happening Now: Preckwinkle, task force recommends elimination of unincorporated Cook County, annexation by suburbs http://twitter.com/ToniPreckwinkle/status/196972072822505474/photo/1","1","0","3,315","http://twitter.com/ToniPreckwinkle/status/196972072822505474"
"2012 Apr 30 12:00:00 AM","9:54 AM","Task Force Recommends Eventual Elimination of Unincorporated Cook http://fb.me/1J0M4Ddee","0","0","3,112","http://twitter.com/ToniPreckwinkle/status/197006111612739584"
"2012 Apr 30 12:00:00 AM","1:13 PM","@GreggGoslin better yet, watch it live on your computer! http://cookcountyil.gov/secretarytotheboard","0","0","2,765","http://twitter.com/ToniPreckwinkle/status/197056014216998912"
